"","id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","work_with_offices_clients_abroad","role_in_organisation...Selected.Choice","role_in_organisation...Other..please.specify....Text","gender","year_of_birth","region","country","ethnicity","ethnicity_other","languages_spoken","countries_abroad_count","countries_abroad_oc","organisational_affiliation_years","workplace_diversity","pql_stimulating_challenges_imp","pql_flexible_imp","pql_weaknesses_imp","pql_manage_emotions_imp","pql_ease_differing_views_imp","pql_stimulating_challenges_exp","pql_flexible_exp","pql_weaknesses_exp","pql_manage_emotions_exp","pql_ease_differing_views_exp","cui_understand_culture_communication_imp","cui_noticing_ways_imp","cui_mixing_socially_imp","cui_learn_foreign_phrases_imp","cui_understan_values_beliefs_imp","cui_understand_culture_communication_exp","cui_noticing_ways_exp","cui_mixing_socially_exp","cui_learn_foreign_phrases_exp","cui_understan_values_beliefs_exp","trl_trust_imp","trl_respect_viewpoints_imp","trl_feeling_part_of_team_imp","trl_support_each_other_imp","trl_know_personally_imp","trl_trust_exp","trl_respect_viewpoints_exp","trl_feeling_part_of_team_exp","trl_support_each_other_exp","trl_know_personally_exp","com_understand_each_other_imp","com_adjusting_language_imp","com_everyone_contributes_imp","com_say_what_you_want_imp","com_listen_to_others_imp","com_clarify_issues_imp","com_account_for_different_language_levels_imp","com_understand_each_other_exp","com_adjusting_language_exp","com_everyone_contributes_exp","com_say_what_you_want_exp","com_listen_to_others_exp","com_clarify_issues_exp","com_account_for_different_language_levels_exp","lmg_handle_opinions_imp","lmg_negative_feedback_imp","lmg_personal_circumstances_imp","lmg_varying_management_style_imp","lmg_motivating_staff_imp","lmg_handle_opinions_eoh","lmg_negative_feedback_eoh","lmg_personal_circumstances_eoh","lmg_varying_management_style_eoh","lmg_motivating_staff_eoh","tmg_clear_goals_imp","tmg_divide_responsibilities_fairly_imp","tmg_peoples_strengths_imp","tmg_ethical_standards_imp","tmg_making_decisions_imp","tmg_keeping_time_imp","tmg_elicit_ideas_imp","tmg_clear_goals_eoh","tmg_divide_responsibilities_fairly_eoh","tmg_peoples_strengths_eoh","tmg_ethical_standards_eoh","tmg_making_decisions_eoh","tmg_keeping_time_eoh","tmg_elicit_ideas_eoh","lao_manage_change_imp","lao_persuade_leaders_new_ways_imp","lao_local_contextual_factors_imp","lao_recruiting_people_imp","lao_combine_different_viewpoints_imp","lao_manage_change_eoh","lao_persuade_leaders_new_ways_eoh","lao_local_contextual_factors_eoh","lao_recruiting_people_eoh","lao_combine_different_viewpoints_eoh","oc","opp","Q_TotalDuration","Q_CHL","isNew","V","rid","RISN","test2","gc","term","manager","missing"
"12",12,"16/01/2019 14:36","16/01/2019 14:42",0,"94.72.192.249",100,396,1,"16/01/2019 14:42","R_2wGig5TFW75CXbH",NA,NA,NA,NA,53.79849243,-0.326705933,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Male","1969","Europe","UK","Asian",NA,"1",0,NA,"8 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,5,5,6,4,5,5,6,6,6,4,6,5,5,5,5,5,6,6,5,4,6,5,6,5,6,6,5,4,5,6,5,4,6,5,4,5,6,5,6,6,5,6,6,4,5,6,5,6,6,5,6,5,6,5,6,5,6,5,4,6,5,6,5,6,5,6,6,5,5,4,6,6,6,5,5,5,"enjoyable","Qual2514-0709Const2",396,"anonymous",NA,"H","5c3f415d-d155-4e40-aee8-2618493f12ca",NA,NA,1,NA,"no",0
"13",13,"16/01/2019 14:39","16/01/2019 14:45",0,"51.52.96.119",100,356,1,"16/01/2019 14:45","R_2yrvwyiAXmT8Wtc",NA,NA,NA,NA,50.71670532,-1.883300781,"anonymous","EN","consent_academic,consent_teaching",2,"Middle Management (no subordinates/line-reports)",NA,"Male","before 1960","Europe","UK","White",NA,"3",2,"England
Spain","13 years","diversity_culture,diversity_education",4,5,5,4,5,4,5,5,4,4,4,4,3,5,3,5,4,4,5,3,5,4,4,5,5,4,4,4,5,3,5,6,4,4,5,4,4,5,5,3,4,5,4,5,4,4,4,4,5,4,3,4,4,5,3,4,4,5,5,4,4,3,4,4,5,5,4,2,4,4,3,5,5,4,4,3,3,5,NA,"Qual2514-0709Const2",356,"anonymous",NA,"H","5c3f4225-c1ad-4b91-91b9-7d0e64bc1ed9",NA,NA,1,NA,"yes",0
"14",14,"16/01/2019 14:29","16/01/2019 14:45",0,"79.69.61.33",100,968,1,"16/01/2019 14:45","R_2zvGQg3ISrsE0Nw",NA,NA,NA,NA,52.98330688,-2.133300781,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Female","1979","Europe","UK","White",NA,"3",2,"GERMANY, FRANCE","10 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,4,6,6,5,6,3,6,6,4,5,5,5,5,5,4,4,5,3,6,5,4,5,5,5,5,5,5,5,5,5,5,6,6,5,6,5,6,5,5,6,5,5,6,6,5,5,4,5,6,5,4,4,5,6,5,6,5,4,5,4,5,6,6,4,5,3,6,5,5,6,5,5,5,5,5,4,"YOU MUST BE VERY ADAPTABLE IN YOUR DEALINGS WITH PEOPLE, BECAUSE EVERYONE YOU INTERACT WITH WILL OBVIOUSLY BE DIFFERENT","Qual2514-0709Const2",968,"anonymous",NA,"H","5c3f3fd4-5741-4714-9ad0-4678b674d828",NA,NA,1,NA,"yes",0
"16",16,"16/01/2019 14:52","16/01/2019 14:54",0,"95.91.251.228",100,125,1,"16/01/2019 14:54","R_1jcQ5gDwO9kotmn",NA,NA,NA,NA,48.13389587,11.37649536,"anonymous","EN","consent_academic,consent_teaching",6,"Top Management (with responsibilities for one or more managers)",NA,"Male","1987","Europe","Germany","White",NA,"2",1,"-","17 years","diversity_culture,diversity_language",5,4,5,4,6,4,4,6,4,6,3,3,5,6,5,6,5,5,4,4,5,4,4,5,6,5,3,5,4,4,3,3,4,6,3,4,5,6,5,3,3,5,6,5,4,4,5,6,4,5,3,5,4,4,5,4,6,4,3,6,6,6,5,4,5,6,3,4,4,3,6,5,5,4,5,5,5,6,"-","Qual2514-0709Const2",125,"anonymous",NA,"H","5c3f4513-edb7-4768-99b4-31e3fa6d8181",NA,NA,1,NA,"yes",0
"17",17,"16/01/2019 14:56","16/01/2019 15:01",0,"92.116.204.29",100,279,1,"16/01/2019 15:01","R_8kstKh1K8GUatsR",NA,NA,NA,NA,51.02099609,13.76789856,"anonymous","EN","consent_academic,consent_teaching",5,"Top Management (with responsibilities for one or more managers)",NA,"Male","1976","Europe","Germany","White",NA,"2",2,"SFO","15 years","diversity_culture",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,5,6,5,6,6,6,6,6,5,6,6,5,5,5,5,6,6,6,6,6,"no. thats all","Qual2514-0709Const2",279,"anonymous",NA,"H","5c3f462a-17cc-4f14-9f88-30e7ff30189c",NA,NA,1,NA,"yes",0
"18",18,"16/01/2019 14:38","16/01/2019 15:01",0,"77.0.68.90",100,1389,1,"16/01/2019 15:01","R_1mWA2l2nqp1r2e9",NA,NA,NA,NA,53.56669617,10.16670227,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Female","1970","Europe","Germany","White",NA,"3",3,"Germany, UK, France","2 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,5,6,5,5,6,4,6,5,6,6,5,6,6,5,5,6,4,5,6,5,6,6,4,5,5,5,5,3,6,5,6,6,6,6,5,6,3,5,6,6,5,5,5,6,6,5,5,4,4,5,3,5,6,5,6,6,5,6,5,5,3,3,6,4,3,5,5,5,5,6,5,4,3,5,4,3,NA,"Qual2514-0709Const2",1389,"anonymous",NA,"H","5c3f41d4-5084-4c71-9ebd-45881ac385c1",NA,NA,1,NA,"no",0
"19",19,"16/01/2019 14:57","16/01/2019 15:01",0,"174.16.142.249",100,268,1,"16/01/2019 15:01","R_240om6EgorMge2c",NA,NA,NA,NA,39.76829529,-105.0493011,"anonymous","EN","consent_academic,consent_teaching",4,"Top Management (with responsibilities for one or more managers)",NA,"Female","1987","Americas","US","White",NA,"3",2,"Belize","8 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,5,6,6,NA,4,5,6,6,6,6,6,5,6,6,6,5,5,6,6,6,5,6,5,5,5,5,6,5,5,6,6,4,6,6,6,5,5,5,4,6,6,5,5,5,6,6,6,5,5,5,5,5,6,6,6,6,5,4,6,4,5,5,NA,5,5,5,5,4,6,5,6,4,4,5,3,4,"Thank you for other cultures and ethnic groups.","Qual2514-0709Const2",268,"anonymous",NA,"H","5c3f463e-5a25-4575-a23c-ec69b785d848",NA,NA,3,"overquota_end","yes",2
"20",20,"16/01/2019 14:53","16/01/2019 15:02",0,"107.77.207.217",100,544,1,"16/01/2019 15:02","R_3M3fVPp4UQ3Am6x",NA,NA,NA,NA,41.90080261,-87.65280151,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Male","before 1960","Americas","US","White",NA,"1",1,NA,"16 years",NA,6,5,4,5,6,6,5,4,4,6,2,3,4,3,5,2,5,4,2,5,5,6,4,4,4,5,6,4,4,4,5,2,3,6,6,4,2,5,2,3,6,6,5,2,4,4,4,5,3,5,4,4,6,4,NA,4,4,6,5,4,3,5,4,4,5,5,4,4,4,4,4,3,5,5,5,5,4,5,NA,"Qual2514-0709Const2",544,"anonymous",NA,"H","5c3f4558-19da-46c8-b162-6a1a673b8711",NA,NA,3,"overquota_end","yes",1
"21",21,"16/01/2019 14:58","16/01/2019 15:02",0,"73.209.16.150",100,289,1,"16/01/2019 15:02","R_1QGUW758iOdg2cT",NA,NA,NA,NA,42.03019714,-87.68650055,"anonymous","EN","consent_academic,consent_teaching",3,"Middle (with subordinates/line-reports)",NA,"Male","before 1960","Americas","US","White",NA,"2",3,"United Kingdom; Canada","1 year","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",4,6,5,3,4,5,4,6,3,6,3,6,4,4,5,4,6,4,4,4,6,6,6,6,4,4,6,6,6,5,5,4,4,6,6,6,4,4,4,5,3,6,6,4,4,5,6,5,5,6,3,6,3,4,6,5,5,6,6,6,6,4,4,4,6,4,5,4,4,6,6,6,5,3,4,4,4,4,NA,"Qual2514-0709Const2",289,"anonymous",NA,"H","5c3f4673-110b-402e-993f-c0c906cc2be8",NA,NA,3,"overquota_end","yes",0
"22",22,"16/01/2019 14:58","16/01/2019 15:05",0,"188.98.206.166",100,397,1,"16/01/2019 15:05","R_1BQLs4vq2spLXS2",NA,NA,NA,NA,48.1499939,11.58329773,"anonymous","EN","consent_academic,consent_teaching",5,"Skilled work/Office work",NA,"Male","1978","Europe","Germany","White",NA,"3",2,"France","7 years","diversity_culture",4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"nothing","Qual2514-0709Const2",397,"anonymous",NA,"H","5c3f46af-b6b9-464a-af42-1cb306615974",NA,NA,3,"overquota_end","no",0
"23",23,"16/01/2019 14:57","16/01/2019 15:05",0,"74.136.148.147",100,468,1,"16/01/2019 15:05","R_1JRATrnZm8TGpXq",NA,NA,NA,NA,38.01739502,-84.48539734,"anonymous","EN","consent_academic,consent_teaching",5,"Top Management (with responsibilities for one or more managers)",NA,"Male","1989","Americas","US","Mixed race",NA,"3",2,"Spain and Greece","14 years","diversity_culture,diversity_language,diversity_part_of_organisation,diversity_experience",4,4,3,5,6,3,3,2,4,5,4,5,6,3,4,4,5,6,3,4,4,5,6,6,5,4,5,6,6,5,4,5,5,5,4,4,4,5,4,4,4,5,5,5,4,5,2,1,3,4,5,2,1,3,5,5,5,5,4,6,6,6,5,5,6,4,6,4,5,3,4,6,5,4,5,4,6,3,"I enjoy working with people from different backgrounds because it can help me figure out their pros and cons.","Qual2514-0709Const2",468,"anonymous",NA,"H","5c3f4667-9f26-427e-a953-5e919f5c9470",NA,NA,3,"overquota_end","yes",0
"24",24,"16/01/2019 14:59","16/01/2019 15:06",0,"68.84.124.84",100,392,1,"16/01/2019 15:06","R_3COudrNNNvFFu9P",NA,NA,NA,NA,40.44110107,-75.35070038,"anonymous","EN","consent_academic,consent_teaching",2,"Entrepreneur",NA,"Female","1977","Americas","US","White",NA,"1",0,NA,"7 years","diversity_culture,diversity_education",5,6,6,6,5,5,5,4,5,5,6,6,5,4,5,4,3,4,3,4,6,5,5,6,4,4,3,5,5,5,5,5,3,5,6,6,5,5,3,2,4,6,6,3,6,6,5,4,4,4,4,3,2,4,6,6,6,6,6,6,4,5,5,6,3,5,4,4,6,6,6,4,5,6,3,6,3,3,NA,"Qual2514-0709Const2",392,"anonymous",NA,"H","5c3f46d8-858b-4c21-b142-2244b011ca6f",NA,NA,3,"overquota_end","yes",0
"25",25,"16/01/2019 15:01","16/01/2019 15:09",0,"64.223.80.166",100,484,1,"16/01/2019 15:09","R_0Oje2C8JYAYQjkt",NA,NA,NA,NA,43.43170166,-72.06729889,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Male","before 1960","Americas","US","White",NA,"2",1,NA,"12 years","diversity_part_of_organisation,diversity_experience",6,6,6,6,3,6,6,4,6,5,5,6,3,3,3,6,6,4,4,5,6,4,6,6,4,4,3,6,6,5,6,4,5,6,6,6,4,5,4,4,6,6,5,2,4,6,6,4,6,5,5,6,4,6,6,6,6,6,6,4,6,6,4,4,6,6,5,5,3,6,6,4,3,4,4,6,6,4,NA,"Qual2514-0709Const2",484,"anonymous",NA,"H","5c3f4735-43b5-488e-8063-88e923737b97",NA,NA,3,"overquota_end","yes",0
"28",28,"16/01/2019 14:59","16/01/2019 15:14",0,"12.41.112.148",100,886,1,"16/01/2019 15:14","R_b7RSNwfN0xec2Ln",NA,NA,NA,NA,38.70329285,-90.46179962,"anonymous","EN","consent_academic,consent_teaching",3,"Middle (with subordinates/line-reports)",NA,"Male","before 1960","Americas","US","White",NA,"1",1,"Australia","more than 20 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,6,6,6,6,4,4,6,6,3,6,6,6,6,6,4,5,3,3,4,6,6,6,6,5,3,2,4,1,2,6,6,6,6,6,6,6,3,5,1,1,4,3,2,6,5,6,6,5,2,2,5,4,3,6,6,6,6,6,6,6,5,4,5,5,5,4,4,6,6,6,6,6,3,3,3,4,3,"I can work with anyone any place, I find it very hard to understand ownership of the company and their goals as they are always changing, daily. It is hard ton follow leadership when they don't know where they want to go.","Qual2514-0709Const2",886,"anonymous",NA,"H","5c3f46dc-9df6-4fa3-91af-54b391175965",NA,NA,3,"overquota_end","yes",0
"29",29,"16/01/2019 14:55","16/01/2019 15:16",0,"76.120.66.44",100,1234,1,"16/01/2019 15:16","R_3qXaYcxXK16QmvA",NA,NA,NA,NA,39.98069763,-105.2530975,"anonymous","EN","consent_academic,consent_teaching",6,"Entrepreneur",NA,"Male","before 1960","Americas","US","White",NA,"1",1,"The USA studying Finance.","17 years","diversity_culture,diversity_language,diversity_education",6,6,6,6,6,6,5,4,6,6,6,5,6,5,6,6,4,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,"I use the translator on my PC to help me communicate with people in over 160 countries.","Qual2514-0709Const2",1234,"anonymous",NA,"H","5c3f45e5-e7be-4b57-a923-26d844d4e0be",NA,NA,3,"overquota_end","yes",0
